step:3600/3600, q_loss:0, rewards:-55.04026692708333, queue:1.7959201388888888, delay:0.06779060363769532, throughput:1427
episode:0/200, real avg travel time:292.4302733006307
intersection:0, mean_episode_reward:-3.6938884258270264, mean_queue:3.8722221851348877
intersection:1, mean_episode_reward:-3.676387310028076, mean_queue:3.844444513320923
intersection:2, mean_episode_reward:-4.025554656982422, mean_queue:4.1972222328186035
intersection:3, mean_episode_reward:-3.50333309173584, mean_queue:3.6194443702697754
intersection:4, mean_episode_reward:-3.041665554046631, mean_queue:3.191666603088379
intersection:5, mean_episode_reward:-2.963332176208496, mean_queue:3.116666555404663
intersection:6, mean_episode_reward:-2.5158333778381348, mean_queue:2.683333396911621
intersection:7, mean_episode_reward:-2.3216660022735596, mean_queue:2.461111068725586
intersection:8, mean_episode_reward:-4.422500133514404, mean_queue:4.577777862548828
intersection:9, mean_episode_reward:-5.12555456161499, mean_queue:5.2833333015441895
intersection:10, mean_episode_reward:-3.1772220134735107, mean_queue:3.316666603088379
intersection:11, mean_episode_reward:-3.597499370574951, mean_queue:3.7277777194976807
intersection:12, mean_episode_reward:-2.8513875007629395, mean_queue:2.9972221851348877
intersection:13, mean_episode_reward:-3.79083251953125, mean_queue:3.944444417953491
intersection:14, mean_episode_reward:-3.668609619140625, mean_queue:3.825000047683716
intersection:15, mean_episode_reward:-2.6649982929229736, mean_queue:2.8111112117767334
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
